"user","treatment","num_applications","num_hires","prior_spend","prior_openings"
760,"0",7,0,0,2
761,"1",77,1,8.860067746531,17
762,"0",0,0,5.55167969644624,6
763,"1",58,1,0,5
764,"1",72,0,9.46567769754398,45
765,"1",31,1,7.43726525795226,11
766,"0",0,0,7.02655113489621,5
767,"0",4,0,0,1
768,"0",1,1,0,2
769,"1",2,0,0,1
770,"0",35,2,7.51314171093457,53
771,"1",3,2,8.60068471431453,14
772,"1",8,0,10.6281724013329,63
773,"1",12,1,6.72338763036924,12
774,"0",0,0,0,2
775,"1",0,0,8.08004544732746,27
776,"0",69,0,7.52048926658068,35
777,"0",0,0,8.58045151845492,105
778,"0",1,0,0,1
779,"0",0,0,0,3
780,"1",10,0,0,1
781,"1",35,0,0,1
782,"0",22,0,0,1
783,"1",33,1,7.05065143500906,25
784,"0",1,1,0,1
785,"1",66,1,6.3056729157779,7
786,"1",0,0,6.21218516548944,15
787,"0",1,0,0,3
788,"0",12,0,4.55155841653944,14
789,"0",24,0,0,1
790,"0",25,0,0,3
791,"1",66,0,0,6
792,"0",10,0,0,1
793,"0",1,1,7.22081996981797,4
794,"0",0,0,9.73748078288345,100
795,"0",170,1,5.75104766712332,8
796,"1",1,1,9.26770037660645,31
797,"1",105,1,4.2076732475291,3
798,"0",5,3,9.4073214509853,77
799,"0",4,1,8.68228550691414,19
800,"1",13,1,6.44644971167954,83
801,"1",9,0,5.78351744267505,19
802,"1",1,1,5.48815229381851,25
803,"1",8,2,8.01253186261809,23
804,"0",1,1,5.40815783222757,10
805,"0",301,0,4.40146154731249,53
806,"1",1,1,0,1
807,"0",21,0,0,42
808,"1",1,1,0,1
809,"1",10,1,10.0325375436641,85
810,"0",0,0,6.78671695060508,6
811,"1",9,0,0,11
812,"1",3,1,6.33404310216096,4
813,"0",0,0,0,3
814,"1",13,2,6.63668119391038,18
815,"1",22,1,5.43031007600653,6
816,"0",1,1,4.18950321539533,2
817,"1",0,0,0,4
818,"0",3,1,0,2
819,"0",6,0,0,1
820,"0",1,1,0,2
821,"0",24,1,0,1
